date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:02	268646/268646	---M-Z	200	added ('OK')	text/xml	etag:%2214838-41966-86661a80%22	http://catalog.wlimg.com/main-common/fonts/josefinsans.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/josefinsans.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:06	81792/81792	---M-Z	200	added ('OK')	text/plain	etag:%2214878-13f80-87f2d500%22	http://catalog.wlimg.com/main-common/fonts/josefinsans.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/josefinsans.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:06	23432/23432	---M-Z	200	added ('OK')	text/plain	etag:%2214841-5b88-86c1a800%22	http://catalog.wlimg.com/main-common/fonts/kenia.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/kenia.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:07	35724/35724	---M-Z	200	added ('OK')	application/x-font-woff	etag:%2214862-8b8c-876980c0%22	http://catalog.wlimg.com/main-common/fonts/josefinsans.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/josefinsans.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:07	62532/62532	---M-Z	200	added ('OK')	text/plain	etag:%2214836-f444-8656d840%22	http://catalog.wlimg.com/main-common/fonts/kenia.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/kenia.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:08	23432/23432	---M-Z	200	added ('OK')	text/plain	etag:%2214841-5b88-86c1a800%22	http://catalog.wlimg.com/main-common/fonts/kenia.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/keniad41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:17	762200/762200	---MCZ	200	added ('OK')	text/xml	etag:%2214857-ba158-873bba00%22	http://catalog.wlimg.com/main-common/fonts/lobster.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/lobster.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:24	116949/116949	---MCZ	200	added ('OK')	text/plain	etag:%221483b-1c8d5-8693e140%22	http://catalog.wlimg.com/main-common/fonts/lobster.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/lobsterd41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:26	91551/91551	---MCZ	200	added ('OK')	text/plain	etag:%2214844-1659f-86d0ea40%22	http://catalog.wlimg.com/main-common/fonts/loveyalikeasister.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/loveyalikeasister.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:28	158900/158900	---M-Z	200	added ('OK')	application/x-font-woff	etag:%2214867-26cb4-87880540%22	http://catalog.wlimg.com/main-common/fonts/lobster.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/lobster.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:44	91551/91551	---MCZ	200	added ('OK')	text/plain	etag:%2214844-1659f-86d0ea40%22	http://catalog.wlimg.com/main-common/fonts/loveyalikeasister.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/loveyalikeasisterd41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:44	135196/135196	---MCZ	200	added ('OK')	application/x-font-woff	etag:%221486d-2101c-87a689c0%22	http://catalog.wlimg.com/main-common/fonts/loveyalikeasister.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/loveyalikeasister.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:46	20992/20992	---M-Z	200	added ('OK')	text/plain	etag:%221484a-5200-86ef6ec0%22	http://catalog.wlimg.com/main-common/fonts/marcellus.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/marcellus.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:51	45040/45040	---M-Z	200	added ('OK')	text/plain	etag:%2214877-aff0-87e392c0%22	http://catalog.wlimg.com/main-common/fonts/marcellus.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/marcellus.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:51	20992/20992	---M-Z	200	added ('OK')	text/plain	etag:%221484a-5200-86ef6ec0%22	http://catalog.wlimg.com/main-common/fonts/marcellus.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/marcellusd41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
